TripNumber,TripDate,FromPos,ToPos,Distance,DriverName,DriverType,Revenue,DieselCost,OtherExpensesCost,ExternalTransportCost,TotalCost,Profit,TripYear,TripMonth,TripDay,TripQuarter,TripWeekday
TR0176,2023-02-10,RIYADH,TAIF,541,Hamad Saleh,Internal,4616.03,797.3,238.49,0.0,1035.79,3580.24,2023,2,10,1,Friday
TR0177,2023-02-26,MADINAH,MAKKAH,716,Mohammed Saeed,Internal,2288.3,375.04,131.28,0.0,506.32,1781.98,2023,2,26,1,Sunday
TR0178,2023-02-02,JEDDAH,BURAIDAH,1322,Turki Salem,Internal,5239.66,825.27,330.69,0.0,1155.96,4083.7,2023,2,2,1,Thursday
TR0179,2023-05-30,ABHA,RIYADH,1359,Omar Khalid,Internal,4779.98,567.53,287.24,0.0,854.77,3925.21,2023,5,30,2,Tuesday
TR0180,2023-09-26,TAIF,JEDDAH,1177,Turki Salem,Internal,3428.4,504.02,199.33,0.0,703.35,2725.05,2023,9,26,3,Tuesday
TR0181,2023-07-11,MADINAH,RIYADH,831,Rashed Hamad,Internal,3086.02,534.79,178.05,0.0,712.84,2373.18,2023,7,11,3,Tuesday
TR0182,2023-10-25,YANBU,TAIF,373,Ahmed Ali,External,4595.1,833.33,140.18,537.04,1510.55,3084.55,2023,10,25,4,Wednesday
TR0183,2023-08-26,YANBU,TABUK,1393,Khalid Omar,Internal,973.25,172.87,46.19,0.0,219.06,754.19,2023,8,26,3,Saturday
TR0184,2023-05-31,MAKKAH,RIYADH,508,Saleh Ayed,Internal,2866.97,375.59,125.84,0.0,501.43,2365.54,2023,5,31,2,Wednesday
TR0185,2023-10-06,TABUK,MADINAH,174,Rashed Hamad,Internal,2645.83,492.69,60.51,0.0,553.2,2092.63,2023,10,6,4,Friday
TR0186,2023-12-02,TAIF,MADINAH,354,Rashed Hamad,External,3777.14,528.81,175.2,541.91,1245.92,2531.22,2023,12,2,4,Saturday
TR0187,2023-06-23,DAMMAM,BURAIDAH,1118,Omar Khalid,External,6508.61,1124.09,160.99,588.17,1873.25,4635.36,2023,6,23,2,Friday
TR0188,2023-04-03,BURAIDAH,MADINAH,757,Mohammed Saeed,Internal,2959.4,383.43,138.37,0.0,521.8,2437.6,2023,4,3,2,Monday
TR0189,2023-08-07,DAMMAM,BURAIDAH,819,Nasser Fahad,Internal,5951.11,1137.62,338.57,0.0,1476.19,4474.92,2023,8,7,3,Monday
TR0190,2023-08-11,MADINAH,YANBU,217,Mohammed Saeed,External,3224.83,580.82,195.96,460.89,1237.67,1987.16,2023,8,11,3,Friday
TR0191,2023-03-15,HAIL,YANBU,997,Ahmed Ali,Internal,1004.25,178.61,42.16,0.0,220.77,783.48,2023,3,15,1,Wednesday
TR0192,2023-07-16,HAIL,RIYADH,1339,Khalid Omar,External,7616.18,1044.95,501.03,655.66,2201.64,5414.54,2023,7,16,3,Sunday
TR0193,2023-09-29,TAIF,TABUK,743,Salem Rashed,External,2372.09,264.12,152.15,177.57,593.84,1778.25,2023,9,29,3,Friday
TR0194,2023-07-18,BURAIDAH,JEDDAH,636,Rashed Hamad,External,5780.28,702.06,327.81,601.71,1631.58,4148.7,2023,7,18,3,Tuesday
TR0195,2023-09-09,MAKKAH,JEDDAH,377,Hamad Saleh,Internal,3890.32,738.65,181.7,0.0,920.35,2969.97,2023,9,9,3,Saturday
TR0196,2023-02-14,JUBAIL,TAIF,1467,Omar Khalid,Internal,4624.98,596.79,175.74,0.0,772.53,3852.45,2023,2,14,1,Tuesday
TR0197,2023-03-22,YANBU,JUBAIL,456,Rashed Hamad,External,4315.67,483.94,138.36,89.9,712.2,3603.47,2023,3,22,1,Wednesday
TR0198,2023-09-10,RIYADH,ABHA,1234,Fahad Majed,External,4005.54,794.3,111.3,531.28,1436.88,2568.66,2023,9,10,3,Sunday
TR0199,2023-02-03,MADINAH,TABUK,1080,Turki Salem,External,6268.73,1143.0,153.11,914.34,2210.45,4058.28,2023,2,3,1,Friday
TR0200,2023-11-25,JEDDAH,BURAIDAH,1054,Salem Rashed,External,1462.51,267.5,77.63,128.95,474.08,988.43,2023,11,25,4,Saturday
TR0201,2023-03-08,ABHA,HAIL,213,Hamad Saleh,Internal,4385.77,571.96,130.34,0.0,702.3,3683.47,2023,3,8,1,Wednesday
TR0202,2023-12-30,MAKKAH,ABHA,1162,Saleh Ayed,External,6844.5,855.98,397.69,565.54,1819.21,5025.29,2023,12,30,4,Saturday
TR0203,2023-03-06,JUBAIL,MADINAH,1358,Turki Salem,Internal,4269.3,498.93,326.59,0.0,825.52,3443.78,2023,3,6,1,Monday
TR0204,2023-03-20,DAMMAM,YANBU,1378,Majed Saud,External,6818.98,1066.23,474.02,29.02,1569.27,5249.71,2023,3,20,1,Monday
TR0205,2023-01-24,JUBAIL,HAIL,642,Salem Rashed,Internal,6252.19,885.68,364.75,0.0,1250.43,5001.76,2023,1,24,1,Tuesday
TR0206,2023-09-12,JUBAIL,BURAIDAH,693,Salem Rashed,External,4122.09,743.91,251.86,183.91,1179.68,2942.41,2023,9,12,3,Tuesday
TR0207,2023-02-07,YANBU,RIYADH,423,Nasser Fahad,External,4131.88,497.49,233.04,193.73,924.26,3207.62,2023,2,7,1,Tuesday
TR0208,2023-06-13,YANBU,TAIF,916,Khalid Omar,External,4362.35,482.56,150.52,80.17,713.25,3649.1,2023,6,13,2,Tuesday
TR0209,2023-08-19,MAKKAH,DAMMAM,298,Ahmed Ali,External,7590.39,1414.97,342.24,1096.07,2853.28,4737.11,2023,8,19,3,Saturday
TR0210,2023-03-23,TAIF,JUBAIL,740,Abdullah Hassan,Internal,4236.99,641.79,211.53,0.0,853.32,3383.67,2023,3,23,1,Thursday
TR0211,2023-06-07,TABUK,RIYADH,284,Saeed Turki,External,7750.15,941.76,319.1,58.75,1319.61,6430.54,2023,6,7,2,Wednesday
TR0212,2023-09-11,HAIL,YANBU,1477,Nasser Fahad,External,4525.18,835.88,207.51,598.99,1642.38,2882.8,2023,9,11,3,Monday
TR0213,2023-07-07,ABHA,TAIF,192,Saeed Turki,Internal,4777.11,570.7,254.11,0.0,824.81,3952.3,2023,7,7,3,Friday
TR0214,2023-02-07,ABHA,HAIL,1022,Rashed Hamad,External,6689.83,1085.92,379.06,129.11,1594.09,5095.74,2023,2,7,1,Tuesday
TR0215,2023-02-19,ABHA,TAIF,794,Turki Salem,External,6162.24,738.89,311.48,462.24,1512.61,4649.63,2023,2,19,1,Sunday
TR0216,2023-01-24,RIYADH,MAKKAH,782,Rashed Hamad,External,4395.0,504.96,323.42,92.15,920.53,3474.47,2023,1,24,1,Tuesday
TR0217,2023-11-10,TAIF,DAMMAM,904,Fahad Majed,External,4952.93,746.56,250.53,363.93,1361.02,3591.91,2023,11,10,4,Friday
TR0218,2023-10-16,MADINAH,BURAIDAH,134,Omar Khalid,External,5553.55,1099.55,305.57,663.72,2068.84,3484.71,2023,10,16,4,Monday
TR0219,2023-12-19,JUBAIL,RIYADH,1322,Nasser Fahad,External,7753.03,1382.29,516.12,671.76,2570.17,5182.86,2023,12,19,4,Tuesday
TR0220,2023-01-27,HAIL,TABUK,449,Turki Salem,External,1608.32,270.31,35.21,228.75,534.27,1074.05,2023,1,27,1,Friday
TR0221,2023-02-26,MAKKAH,RIYADH,1003,Omar Khalid,External,1635.73,276.52,72.99,190.15,539.66,1096.07,2023,2,26,1,Sunday
TR0222,2023-08-30,YANBU,RIYADH,382,Turki Salem,Internal,4706.65,940.45,229.22,0.0,1169.67,3536.98,2023,8,30,3,Wednesday
TR0223,2023-07-12,TAIF,DAMMAM,1041,Saleh Ayed,External,4597.05,770.41,331.26,469.41,1571.08,3025.97,2023,7,12,3,Wednesday
TR0224,2023-12-21,MADINAH,JUBAIL,1091,Abdullah Hassan,Internal,2592.55,336.64,198.3,0.0,534.94,2057.61,2023,12,21,4,Thursday
TR0225,2023-06-02,MADINAH,MAKKAH,1101,Omar Khalid,External,3116.02,602.54,211.03,127.81,941.38,2174.64,2023,6,2,2,Friday
TR0226,2023-03-04,HAIL,YANBU,1212,Saeed Turki,External,6637.83,1297.44,453.21,289.2,2039.85,4597.98,2023,3,4,1,Saturday
TR0227,2023-05-28,YANBU,JEDDAH,809,Saleh Ayed,External,5419.79,947.02,177.98,673.1,1798.1,3621.69,2023,5,28,2,Sunday
TR0228,2023-05-19,BURAIDAH,MADINAH,381,Mohammed Saeed,Internal,2318.44,387.14,120.24,0.0,507.38,1811.06,2023,5,19,2,Friday
TR0229,2023-11-23,MAKKAH,RIYADH,305,Saeed Turki,External,5880.19,647.14,389.54,4.57,1041.25,4838.94,2023,11,23,4,Thursday
TR0230,2023-10-09,DAMMAM,TABUK,1437,Saleh Ayed,External,4080.86,489.48,317.63,196.6,1003.71,3077.15,2023,10,9,4,Monday
TR0231,2023-11-27,RIYADH,DAMMAM,1435,Fahad Majed,Internal,4513.64,777.75,343.94,0.0,1121.69,3391.95,2023,11,27,4,Monday
TR0232,2023-03-31,ABHA,DAMMAM,174,Hamad Saleh,External,6409.7,760.39,416.25,838.67,2015.31,4394.39,2023,3,31,1,Friday
TR0233,2023-05-29,RIYADH,JEDDAH,711,Fahad Majed,Internal,7463.41,996.4,352.73,0.0,1349.13,6114.28,2023,5,29,2,Monday
TR0234,2023-11-25,BURAIDAH,HAIL,1111,Saleh Ayed,Internal,6882.95,1010.43,217.29,0.0,1227.72,5655.23,2023,11,25,4,Saturday
TR0235,2023-02-27,TAIF,DAMMAM,1039,Salem Rashed,External,5889.49,597.24,236.91,260.63,1094.78,4794.71,2023,2,27,1,Monday
TR0236,2023-12-12,MAKKAH,DAMMAM,1351,Hamad Saleh,External,6702.42,1015.6,168.93,672.85,1857.38,4845.04,2023,12,12,4,Tuesday
TR0237,2023-04-05,DAMMAM,BURAIDAH,762,Saleh Ayed,Internal,551.23,76.27,25.8,0.0,102.07,449.16,2023,4,5,2,Wednesday
TR0238,2023-05-17,TAIF,MADINAH,1292,Majed Saud,Internal,2461.65,334.67,84.13,0.0,418.8,2042.85,2023,5,17,2,Wednesday
TR0239,2023-12-08,JEDDAH,BURAIDAH,728,Khalid Omar,External,5645.55,1085.7,413.64,651.93,2151.27,3494.28,2023,12,8,4,Friday
TR0240,2023-12-20,JEDDAH,YANBU,704,Omar Khalid,Internal,2143.46,242.98,62.57,0.0,305.55,1837.91,2023,12,20,4,Wednesday
TR0241,2023-11-07,TAIF,TABUK,1224,Saleh Ayed,External,6180.13,1113.66,429.74,706.26,2249.66,3930.47,2023,11,7,4,Tuesday
TR0242,2023-12-15,HAIL,JEDDAH,1176,Nasser Fahad,External,1085.77,169.83,25.74,89.19,284.76,801.01,2023,12,15,4,Friday
TR0243,2023-09-16,MAKKAH,JUBAIL,1199,Khalid Omar,Internal,2960.88,450.15,79.87,0.0,530.02,2430.86,2023,9,16,3,Saturday
TR0244,2023-04-16,YANBU,HAIL,1101,Mohammed Saeed,External,6565.19,954.21,333.48,449.85,1737.54,4827.65,2023,4,16,2,Sunday
TR0245,2023-01-30,BURAIDAH,TABUK,1477,Rashed Hamad,External,5924.6,827.04,408.72,662.79,1898.55,4026.05,2023,1,30,1,Monday
TR0246,2023-10-24,JEDDAH,RIYADH,967,Omar Khalid,Internal,4558.73,483.34,335.76,0.0,819.1,3739.63,2023,10,24,4,Tuesday
TR0247,2023-08-30,RIYADH,TAIF,937,Khalid Omar,Internal,6243.71,1235.21,366.84,0.0,1602.05,4641.66,2023,8,30,3,Wednesday
TR0248,2023-08-04,TAIF,TABUK,1018,Hamad Saleh,External,3317.34,558.22,198.07,268.36,1024.65,2292.69,2023,8,4,3,Friday
TR0249,2023-12-01,TAIF,JEDDAH,465,Turki Salem,External,4466.32,771.72,149.0,2.33,923.05,3543.27,2023,12,1,4,Friday
TR0250,2023-01-12,MADINAH,BURAIDAH,1479,Majed Saud,External,4489.5,818.6,156.46,233.11,1208.17,3281.33,2023,1,12,1,Thursday
TR0251,2023-05-22,MAKKAH,JEDDAH,165,Rashed Hamad,External,5111.92,989.79,374.92,184.54,1549.25,3562.67,2023,5,22,2,Monday
TR0252,2023-02-04,JEDDAH,JUBAIL,168,Nasser Fahad,Internal,2335.51,243.88,108.22,0.0,352.1,1983.41,2023,2,4,1,Saturday
TR0253,2023-10-04,MAKKAH,RIYADH,386,Turki Salem,External,2256.21,432.38,123.11,195.44,750.93,1505.28,2023,10,4,4,Wednesday
TR0254,2023-12-11,TAIF,MAKKAH,718,Saleh Ayed,Internal,7892.72,1200.68,353.7,0.0,1554.38,6338.34,2023,12,11,4,Monday
TR0255,2023-05-21,RIYADH,HAIL,1311,Saleh Ayed,Internal,5194.95,741.42,258.38,0.0,999.8,4195.15,2023,5,21,2,Sunday
TR0256,2023-06-26,JUBAIL,YANBU,880,Rashed Hamad,External,5722.31,805.85,217.41,157.83,1181.09,4541.22,2023,6,26,2,Monday
TR0257,2023-10-03,TABUK,MAKKAH,561,Faisal Nasser,Internal,6543.32,1252.88,351.66,0.0,1604.54,4938.78,2023,10,3,4,Tuesday
TR0258,2023-08-02,BURAIDAH,HAIL,374,Saeed Turki,Internal,2412.47,320.92,59.69,0.0,380.61,2031.86,2023,8,2,3,Wednesday
TR0259,2023-08-19,TAIF,JEDDAH,1196,Majed Saud,Internal,886.52,122.09,49.91,0.0,172.0,714.52,2023,8,19,3,Saturday
TR0260,2023-01-21,JEDDAH,MADINAH,1303,Majed Saud,Internal,4095.46,765.64,163.73,0.0,929.37,3166.09,2023,1,21,1,Saturday
TR0261,2023-01-08,MAKKAH,MADINAH,340,Majed Saud,External,7358.31,1247.69,457.88,437.78,2143.35,5214.96,2023,1,8,1,Sunday
TR0262,2023-05-03,BURAIDAH,TAIF,679,Saeed Turki,External,4502.38,611.99,160.71,346.33,1119.03,3383.35,2023,5,3,2,Wednesday
TR0263,2023-09-12,TABUK,JEDDAH,1061,Rashed Hamad,External,7357.48,1008.49,329.88,620.81,1959.18,5398.3,2023,9,12,3,Tuesday
TR0264,2023-04-24,YANBU,DAMMAM,133,Faisal Nasser,External,2713.94,324.64,91.73,231.96,648.33,2065.61,2023,4,24,2,Monday
TR0265,2023-05-06,TABUK,HAIL,1440,Salem Rashed,External,2429.95,442.64,189.51,233.89,866.04,1563.91,2023,5,6,2,Saturday
TR0266,2023-09-09,TABUK,DAMMAM,821,Khalid Omar,Internal,5902.35,878.46,442.76,0.0,1321.22,4581.13,2023,9,9,3,Saturday
TR0267,2023-10-05,JUBAIL,RIYADH,1173,Ahmed Ali,Internal,7588.91,1265.99,499.81,0.0,1765.8,5823.11,2023,10,5,4,Thursday
TR0268,2023-07-31,DAMMAM,YANBU,573,Mohammed Saeed,Internal,568.56,85.61,24.1,0.0,109.71,458.85,2023,7,31,3,Monday
TR0269,2023-11-13,JUBAIL,YANBU,1362,Saleh Ayed,External,5444.63,553.03,282.75,335.94,1171.72,4272.91,2023,11,13,4,Monday
TR0270,2023-01-09,BURAIDAH,MADINAH,1197,Faisal Nasser,Internal,4266.62,724.41,195.56,0.0,919.97,3346.65,2023,1,9,1,Monday
TR0271,2023-04-02,JEDDAH,DAMMAM,1173,Khalid Omar,Internal,1939.49,296.05,133.66,0.0,429.71,1509.78,2023,4,2,2,Sunday
TR0272,2023-05-17,ABHA,JEDDAH,864,Saeed Turki,External,4737.52,942.88,158.95,486.1,1587.93,3149.59,2023,5,17,2,Wednesday
TR0273,2023-02-11,JUBAIL,YANBU,164,Mohammed Saeed,External,3344.48,519.3,78.15,4.74,602.19,2742.29,2023,2,11,1,Saturday
TR0274,2023-03-29,JEDDAH,BURAIDAH,988,Salem Rashed,External,4743.92,881.4,122.02,375.83,1379.25,3364.67,2023,3,29,1,Wednesday
TR0275,2023-01-22,MAKKAH,MADINAH,1260,Nasser Fahad,External,849.21,91.23,64.15,114.56,269.94,579.27,2023,1,22,1,Sunday
TR0276,2023-10-16,JUBAIL,RIYADH,467,Saleh Ayed,External,617.44,74.53,17.69,76.01,168.23,449.21,2023,10,16,4,Monday
TR0277,2023-07-23,JEDDAH,TAIF,432,Fahad Majed,Internal,4750.22,878.53,287.97,0.0,1166.5,3583.72,2023,7,23,3,Sunday
TR0278,2023-10-04,TAIF,TABUK,386,Rashed Hamad,Internal,4255.95,840.26,98.83,0.0,939.09,3316.86,2023,10,4,4,Wednesday
TR0279,2023-08-12,MAKKAH,JEDDAH,797,Fahad Majed,External,7766.9,1030.18,450.85,912.86,2393.89,5373.01,2023,8,12,3,Saturday
TR0280,2023-08-19,TABUK,MAKKAH,828,Turki Salem,External,3738.86,628.01,222.99,48.06,899.06,2839.8,2023,8,19,3,Saturday
TR0281,2023-11-13,MADINAH,MAKKAH,250,Mohammed Saeed,External,1656.66,283.57,96.14,183.8,563.51,1093.15,2023,11,13,4,Monday
TR0282,2023-06-12,TAIF,JEDDAH,287,Ahmed Ali,External,3835.52,675.57,100.24,50.22,826.03,3009.49,2023,6,12,2,Monday
TR0283,2023-08-09,TABUK,HAIL,1236,Turki Salem,External,1274.7,138.89,67.88,114.13,320.9,953.8,2023,8,9,3,Wednesday
TR0284,2023-06-16,ABHA,RIYADH,697,Saeed Turki,External,6343.77,1094.2,339.85,944.65,2378.7,3965.07,2023,6,16,2,Friday
TR0285,2023-05-05,HAIL,BURAIDAH,447,Salem Rashed,External,1771.26,224.76,63.95,38.77,327.48,1443.78,2023,5,5,2,Friday
TR0286,2023-03-27,ABHA,MADINAH,962,Faisal Nasser,External,6370.0,867.04,488.28,688.82,2044.14,4325.86,2023,3,27,1,Monday
TR0287,2023-09-11,HAIL,JUBAIL,500,Nasser Fahad,Internal,1516.17,152.64,66.32,0.0,218.96,1297.21,2023,9,11,3,Monday
TR0288,2023-11-14,ABHA,TAIF,1001,Omar Khalid,External,6616.07,1230.26,519.05,135.09,1884.4,4731.67,2023,11,14,4,Tuesday
TR0289,2023-06-14,HAIL,MAKKAH,1081,Omar Khalid,Internal,7734.31,1522.67,289.94,0.0,1812.61,5921.7,2023,6,14,2,Wednesday
TR0290,2023-12-22,JUBAIL,TABUK,1279,Rashed Hamad,Internal,2944.15,376.94,197.71,0.0,574.65,2369.5,2023,12,22,4,Friday
TR0291,2023-07-06,JEDDAH,JUBAIL,509,Fahad Majed,Internal,5612.84,870.05,433.2,0.0,1303.25,4309.59,2023,7,6,3,Thursday
TR0292,2023-08-25,YANBU,MAKKAH,997,Rashed Hamad,External,6734.61,720.04,477.26,803.15,2000.45,4734.16,2023,8,25,3,Friday
TR0293,2023-12-11,TABUK,DAMMAM,1397,Faisal Nasser,Internal,2395.11,276.43,108.71,0.0,385.14,2009.97,2023,12,11,4,Monday
TR0294,2023-07-13,JEDDAH,BURAIDAH,1324,Nasser Fahad,External,4507.76,867.07,325.36,282.84,1475.27,3032.49,2023,7,13,3,Thursday
TR0295,2023-01-19,TAIF,HAIL,1316,Salem Rashed,Internal,1320.27,164.8,79.06,0.0,243.86,1076.41,2023,1,19,1,Thursday
TR0296,2023-03-27,JUBAIL,HAIL,190,Fahad Majed,External,7751.08,1032.13,525.32,123.18,1680.63,6070.45,2023,3,27,1,Monday
TR0297,2023-02-20,MADINAH,MAKKAH,1145,Majed Saud,Internal,3843.34,534.66,254.97,0.0,789.63,3053.71,2023,2,20,1,Monday
TR0298,2023-10-29,YANBU,BURAIDAH,408,Omar Khalid,Internal,4120.78,533.82,310.02,0.0,843.84,3276.94,2023,10,29,4,Sunday
TR0299,2023-02-13,JEDDAH,MAKKAH,813,Faisal Nasser,External,3914.99,472.49,191.74,279.63,943.86,2971.13,2023,2,13,1,Monday
TR0300,2023-08-13,YANBU,TABUK,753,Mohammed Saeed,External,835.12,142.87,17.83,42.98,203.68,631.44,2023,8,13,3,Sunday
TR0301,2023-02-25,JUBAIL,DAMMAM,599,Turki Salem,Internal,4639.33,617.49,211.47,0.0,828.96,3810.37,2023,2,25,1,Saturday
TR0302,2023-08-25,MAKKAH,TABUK,1389,Khalid Omar,Internal,5303.59,759.55,115.36,0.0,874.91,4428.68,2023,8,25,3,Friday
TR0303,2023-11-11,MAKKAH,BURAIDAH,1312,Saeed Turki,External,533.38,64.79,19.58,56.31,140.68,392.7,2023,11,11,4,Saturday
TR0304,2023-02-02,HAIL,JEDDAH,1199,Khalid Omar,External,2944.89,429.23,105.25,381.06,915.54,2029.35,2023,2,2,1,Thursday
TR0305,2023-09-28,JUBAIL,TAIF,1322,Saeed Turki,External,4902.54,660.83,346.76,454.0,1461.59,3440.95,2023,9,28,3,Thursday
TR0306,2023-12-11,YANBU,MADINAH,1358,Fahad Majed,Internal,5540.83,727.61,190.13,0.0,917.74,4623.09,2023,12,11,4,Monday
TR0307,2023-03-01,DAMMAM,ABHA,389,Turki Salem,External,3636.79,413.82,156.46,101.33,671.61,2965.18,2023,3,1,1,Wednesday
TR0308,2023-11-22,BURAIDAH,YANBU,454,Turki Salem,Internal,4172.32,475.77,162.2,0.0,637.97,3534.35,2023,11,22,4,Wednesday
TR0309,2023-08-19,HAIL,RIYADH,835,Ahmed Ali,External,1524.01,276.64,118.61,115.54,510.79,1013.22,2023,8,19,3,Saturday
TR0310,2023-09-11,ABHA,YANBU,1107,Saeed Turki,External,4165.25,450.96,91.02,475.5,1017.48,3147.77,2023,9,11,3,Monday
TR0311,2023-05-30,RIYADH,TAIF,560,Turki Salem,External,1761.57,256.72,113.71,202.38,572.81,1188.76,2023,5,30,2,Tuesday
TR0312,2023-10-09,BURAIDAH,JEDDAH,1272,Mohammed Saeed,External,6313.35,1151.1,265.23,779.01,2195.34,4118.01,2023,10,9,4,Monday
TR0313,2023-01-22,YANBU,TABUK,1218,Abdullah Hassan,External,1268.12,232.07,82.53,56.63,371.23,896.89,2023,1,22,1,Sunday
TR0314,2023-01-17,TABUK,MADINAH,813,Hamad Saleh,Internal,3793.02,756.31,252.38,0.0,1008.69,2784.33,2023,1,17,1,Tuesday
TR0315,2023-05-02,MAKKAH,JUBAIL,818,Hamad Saleh,External,1744.86,198.78,56.53,54.16,309.47,1435.39,2023,5,2,2,Tuesday
TR0316,2023-01-31,HAIL,TAIF,1190,Faisal Nasser,Internal,2927.4,498.84,109.37,0.0,608.21,2319.19,2023,1,31,1,Tuesday
TR0317,2023-05-17,BURAIDAH,YANBU,295,Khalid Omar,External,7390.77,1472.6,532.3,140.67,2145.57,5245.2,2023,5,17,2,Wednesday
TR0318,2023-03-09,MAKKAH,DAMMAM,759,Hamad Saleh,Internal,6211.05,1041.12,306.62,0.0,1347.74,4863.31,2023,3,9,1,Thursday
TR0319,2023-10-23,JUBAIL,MADINAH,1385,Saeed Turki,External,3889.94,635.47,283.22,54.32,973.01,2916.93,2023,10,23,4,Monday
TR0320,2023-09-21,YANBU,MADINAH,855,Nasser Fahad,External,2954.67,296.2,196.33,324.74,817.27,2137.4,2023,9,21,3,Thursday
TR0321,2023-08-23,JUBAIL,YANBU,833,Hamad Saleh,Internal,6467.58,903.98,505.04,0.0,1409.02,5058.56,2023,8,23,3,Wednesday
TR0322,2023-04-19,TABUK,MADINAH,761,Hamad Saleh,External,3033.16,478.61,163.7,220.82,863.13,2170.03,2023,4,19,2,Wednesday
TR0323,2023-06-25,JUBAIL,RIYADH,194,Mohammed Saeed,External,622.11,120.03,18.34,42.6,180.97,441.14,2023,6,25,2,Sunday
TR0324,2023-08-08,MAKKAH,DAMMAM,1431,Faisal Nasser,Internal,7058.18,1324.53,180.69,0.0,1505.22,5552.96,2023,8,8,3,Tuesday
TR0325,2023-07-04,MADINAH,JEDDAH,861,Salem Rashed,Internal,888.4,144.42,56.47,0.0,200.89,687.51,2023,7,4,3,Tuesday
TR0326,2023-04-30,ABHA,YANBU,286,Majed Saud,Internal,508.15,75.04,14.21,0.0,89.25,418.9,2023,4,30,2,Sunday
TR0327,2023-04-26,BURAIDAH,YANBU,1011,Ahmed Ali,Internal,5716.98,1038.84,453.3,0.0,1492.14,4224.84,2023,4,26,2,Wednesday
TR0328,2023-08-05,YANBU,DAMMAM,1078,Mohammed Saeed,Internal,3373.02,583.79,88.19,0.0,671.98,2701.04,2023,8,5,3,Saturday
TR0329,2023-06-10,TAIF,MADINAH,380,Saeed Turki,Internal,5311.82,890.87,128.04,0.0,1018.91,4292.91,2023,6,10,2,Saturday
TR0330,2023-10-16,RIYADH,JUBAIL,1431,Khalid Omar,External,3133.91,380.16,203.38,432.43,1015.97,2117.94,2023,10,16,4,Monday
TR0331,2023-11-12,JUBAIL,TABUK,544,Mohammed Saeed,Internal,1550.1,174.1,98.9,0.0,273.0,1277.1,2023,11,12,4,Sunday
TR0332,2023-06-29,ABHA,TAIF,386,Abdullah Hassan,External,5334.65,665.85,299.06,577.09,1542.0,3792.65,2023,6,29,2,Thursday
TR0333,2023-05-26,YANBU,RIYADH,1448,Saleh Ayed,External,2040.84,327.95,63.92,119.93,511.8,1529.04,2023,5,26,2,Friday
TR0334,2023-11-27,RIYADH,MADINAH,1113,Saeed Turki,Internal,2308.11,378.09,56.0,0.0,434.09,1874.02,2023,11,27,4,Monday
TR0335,2023-01-07,TAIF,ABHA,370,Saeed Turki,External,3240.59,545.37,213.11,463.95,1222.43,2018.16,2023,1,7,1,Saturday
TR0336,2023-02-07,RIYADH,JUBAIL,238,Ahmed Ali,External,2118.07,407.22,162.92,126.44,696.58,1421.49,2023,2,7,1,Tuesday
TR0337,2023-05-27,JUBAIL,BURAIDAH,950,Saeed Turki,External,1118.21,171.82,63.7,46.54,282.06,836.15,2023,5,27,2,Saturday
TR0338,2023-06-08,JEDDAH,HAIL,516,Rashed Hamad,Internal,4522.93,629.02,262.59,0.0,891.61,3631.32,2023,6,8,2,Thursday
TR0339,2023-11-29,JUBAIL,YANBU,235,Faisal Nasser,External,5974.69,1103.21,140.25,77.26,1320.72,4653.97,2023,11,29,4,Wednesday
TR0340,2023-08-11,JEDDAH,BURAIDAH,1353,Fahad Majed,Internal,2819.68,491.1,181.7,0.0,672.8,2146.88,2023,8,11,3,Friday
TR0341,2023-03-03,RIYADH,MAKKAH,123,Khalid Omar,External,7647.62,1164.74,512.23,826.82,2503.79,5143.83,2023,3,3,1,Friday
TR0342,2023-03-27,TAIF,DAMMAM,650,Majed Saud,Internal,6285.73,647.03,430.11,0.0,1077.14,5208.59,2023,3,27,1,Monday
TR0343,2023-05-20,BURAIDAH,JEDDAH,638,Majed Saud,Internal,4221.11,637.72,98.46,0.0,736.18,3484.93,2023,5,20,2,Saturday
TR0344,2023-10-18,DAMMAM,ABHA,422,Faisal Nasser,Internal,7207.01,1206.54,194.01,0.0,1400.55,5806.46,2023,10,18,4,Wednesday
TR0345,2023-09-18,RIYADH,JEDDAH,125,Abdullah Hassan,Internal,4038.23,558.48,117.13,0.0,675.61,3362.62,2023,9,18,3,Monday
TR0346,2023-01-19,BURAIDAH,YANBU,958,Abdullah Hassan,External,2361.97,452.52,92.58,292.65,837.75,1524.22,2023,1,19,1,Thursday
TR0347,2023-10-20,TAIF,JEDDAH,1128,Salem Rashed,Internal,1845.08,332.91,145.55,0.0,478.46,1366.62,2023,10,20,4,Friday
TR0348,2023-07-25,JEDDAH,BURAIDAH,678,Rashed Hamad,External,2954.76,458.9,60.51,88.94,608.35,2346.41,2023,7,25,3,Tuesday
TR0349,2023-10-16,MADINAH,JUBAIL,596,Nasser Fahad,External,4937.68,737.37,327.65,144.74,1209.76,3727.92,2023,10,16,4,Monday
TR0350,2023-10-07,MAKKAH,DAMMAM,113,Saleh Ayed,External,679.33,104.72,39.51,70.66,214.89,464.44,2023,10,7,4,Saturday
TR0351,2023-01-05,TAIF,RIYADH,1446,Saeed Turki,External,1279.62,195.76,43.88,94.44,334.08,945.54,2023,1,5,1,Thursday
TR0352,2023-01-31,DAMMAM,TAIF,290,Ahmed Ali,Internal,7229.66,1098.73,448.61,0.0,1547.34,5682.32,2023,1,31,1,Tuesday
